ProductName,Qty,Unit_Price,SaleDate,CurrencyType,CustomerID,StoreID
Sanders Pin,2,30,1/11/2025,usd,77a1b5da-d82a-4fc6-9e8c-d39d3cd1a19c,Store_A
Price Clip,3,15.75,6/6/2024,usd,b641cdc2-5bf6-464e-a1b7-c7926c702d4a,Store_A
Bennett Lock,1,15.75,12/26/2024,USD,ea851c9f-3c68-4da5-bc8a-b0010455f673,Store_A
Wood Tire,3,,7/9/2024,usd,66784559-57f6-4506-a4af-07d797937c8b,Store_A
Barnes Belt,2,,5/3/2025,OMR,81d45348-605d-48cf-9f4f-56b238b6a54f,Store_A
Ross Cover,3,30,4/11/2025,Usd,7104bf3b-ffeb-4fca-b012-0e623e9fc141,Store_A
Henderson Gear,1,10.5,9/10/2024,USD,c873e149-75d7-49ec-a30b-4cbefb330f7a,Store_A
Cole Disk,3,10.5,7/4/2024,Usd,,Store_A
Coleman Case,,,7/18/2024,Usd,5aa3340c-3207-4be3-83af-28d8daffd8c0,Store_A
Jenkins Valve,,,9/27/2024,OMR,1cc1e21a-c2e5-4616-a5cf-a544eb8a944e,Store_A
Perry Switch,3,15.75,5/5/2025,,fe5a68ba-609e-456f-a6f4-e4be6622c280,Store_A
Powell Tube,1,,2/18/2025,Usd,ac833294-a70a-492b-85bc-1855d25012a7,Store_A
Long Mat,2,,6/13/2024,usd,f6e61f5d-f8ef-48b1-8818-4dc472a6508d,Store_A
Patterson Filter,2,15.75,8/7/2024,USD,dc87e064-573b-468e-9d05-d0db799fe5bc,Store_A
Hughes Strap,3,30,9/30/2024,usd,e81e447a-cd38-4fbe-9991-c56b37072cd7,Store_A
Flores Coat,2,20,8/21/2024,usd,7841d94f-ae84-4401-9d60-d489b97d8151,Store_A
Washington Skirt,1,20,6/4/2024,Usd,428eb1da-66ef-49e5-afc0-217079c16ab6,Store_A
Butler Jacket,,10.5,2/17/2025,,,Store_A
Simmons Shorts,1,20,9/22/2024,,d0345a35-6c2b-4301-8b7a-ee62d1ab9d47,Store_A
Foster Hat,3,,4/1/2025,,f50d52b2-4450-42d5-b41a-f6d1d0e65409,Store_A
Gonzales Sock,2,,5/28/2024,,d767c17d-d02f-4e56-9a7e-e7da7912d0cf,Store_A
Bryant Brush,,30,5/23/2025,usd,32b91cd3-6311-4bf8-913f-1cb56ae199cb,Store_A
Alexander Spray,,,1/1/2025,OMR,48f8ca73-3c11-4d49-aeeb-02c9aa3ec7f8,Store_A
Russell Oil,2,15.75,3/16/2025,usd,cab63fb9-7467-41b3-807b-fe97a9f2f539,Store_A
Griffin Cream,3,30,6/14/2024,,0e57e6c8-d5c5-43fa-919e-3640f6ebba01,Store_A
Diaz Soap,2,15.75,9/20/2024,OMR,a862a8aa-5555-4722-ba8b-9b20d5173c5d,Store_A
Hayes Lotion,,15.75,10/12/2024,usd,3e6ad095-88f3-4d04-8b4f-dcfbb945dd51,Store_A
Myers Shampoo,3,20,2/7/2025,OMR,cc98356b-e110-40bf-9c6d-523028513f65,Store_A
Ford Gel,3,30,9/8/2024,USD,a3fe1e2a-901e-425b-99aa-15b923b54658,Store_A
Hamilton Paste,2,,3/8/2025,USD,c3a69b36-f48b-4fcf-84ed-a6e489a98c8a,Store_A
Graham Cleaner,3,10.5,6/7/2024,,,Store_A
Sullivan Wax,3,30,5/13/2025,usd,,Store_A
Wallace Polish,,15.75,7/26/2024,usd,3739bab7-1700-4841-a849-12a9f64564e4,Store_A
Woods Detergent,,30,2/19/2025,usd,3ca4e50e-0b3c-4093-97aa-0203a3cb6c84,Store_A
Cole Polish,2,15.75,10/14/2024,Usd,1b626cad-36b0-4cd8-ad1a-5bae2dc27b61,Store_A
West Shine,,10.5,2/10/2025,usd,96680cdc-056f-482a-9c83-3976e3bb3f62,Store_A
Jordan Bleach,2,20,2/19/2025,USD,fd17a1f7-9ce7-4bc0-9d26-1672ac678332,Store_A
Owens Powder,2,10.5,7/15/2024,Usd,232d1545-43b1-477b-ac22-4b1d25b9f81a,Store_A
mayar,1,,,OMR,233d1545-43b1-477b-ac22-4b1d25b9f81a,Store_c
